Species,parent,child,variant
Phosphate,2_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_2,40mMPi_2
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,0mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,5mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,10mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,20mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,30mMPi_1
Phosphate,2_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_100uATP_1uMmicro_1400nM_A81D_2,40mMPi_1
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,0mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,5mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,10mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,20mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,30mMPi_2
Phosphate,2_phophate_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,40mMPi_2
Phosphate,2_phophate_variation_at_1420uMATP,,0mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,5mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,10mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,20mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,30mMPi_1420uMATP_2
Phosphate,2_phophate_variation_at_1420uMATP,,40mMPi_1420uMATP_2
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,0mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,5mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,10mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,20mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,30mMPi_1
Phosphate,3_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_1,40mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,0mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,5mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,10mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,20mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,30mMPi_1
Phosphate,3_phophate_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uATP_1uMmicro_1400nM_A81D_1,40mMPi_1
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,0mMPi_2
Phosphate,4_phophate_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_50uATP_1uMmicro_1400nM_A81D_2,5mMPi_2
